text,value
"On the other hand, employment has fallen in the other manufacturing industries highly exposed to international trade, reflecting to some extent the substitution of capital for labour in order to reduce costs.",neg
The recent price-level adjustments for automobiles and the effect of past changes in indirect taxes will keep measured inflation below target through 2008.,neg
"Third, inflation expectations, based on the various measures available, appear to be centred slightly below the midpoint of the target range.",neutral
"Although policy rates remain extremely low, central banks in some smaller industrialized countries and emerging-market economies have already begun to raise their rates in response to strengthening economic activity.",pos
"Heightened geopolitical tensions in the Middle East, together with supply disruptions in some jurisdictions and an improvement in the outlook for global economic activity, have combined to push Brent crude oil prices above the levels anticipated at the time of the January Report.",neg
"As well, there has been an additional easing in access to financing for Canadian firms.",neg
"In late summer, the turbulence in global markets intensified as a result of developments in Russia, particularly the decision by the Russian authorities to unilaterally declare a debt moratorium.",neg
"Second, with a further assumed real effective depreciation of the US dollar of about 7 per cent over the projection horizon, and a strengthening in global investment which raises demand for US capital goods, the growth in US exports is projected to accelerate.",pos
The weakening of the narrow aggregates and of a number of components of M2++ has contributed to a pronounced decline in the growth rate of M2++.,neg
"In summary, on the basis of a growth rate of GDP in the middle of the range of 2.75 to 3.75 per cent and assuming that the Bank's estimates of the output gap are broadly correct, core inflation should rise gradually over the course of the next 18 months but remain in the lower half of the target range.",neutral
"GDP growth should average about 4 per cent over 2017-19, supported by ongoing recoveries in countries previously in recession and progress on growth-enhancing reforms.",pos
"A decline in private and public investment in high-cost projects could significantly reduce future growth in the oil supply, and the members of the Organization of the Petroleum Exporting Countries would have limited spare capacity to replace a significant decrease in the non-OPEC supply.",neg
"In addition, rising house prices and financial innovation continue to bolster consumer borrowing secured by home equity, either through mortgage refinancing or through home-equity lines of credit.",pos
"The forecast for real GDP growth in 2017 has been revised up following stronger-than-anticipated household expenditures, particularly residential investment, as well as stronger-than-expected spending activity in the oil and gas sector.",pos
"The Bank continues to project that the expansion will be driven mainly by growth in consumption and business investment, reflecting very stimulative domestic financial conditions.",pos
"This is consistent with the portfolio shifts mentioned earlier, since the strong growth that was seen in the transactions components of M2++ has been offset by declines in savings instruments such as term deposits and Canada Savings Bonds.",neutral
"Core CPI inflation was 2.1 per cent in October and November, up from 1.9 per cent in the third quarter and 1.5 per cent in the first half of 2011.",neutral
The Canadian economy is judged to have moved into excess supply in the third quarter of 2001.,neg
The temporary decline in exports in the third quarter is largely due to scheduled reductions in motor vehicle production and the unwinding of temporary factors that boosted growth in the spring.,neg
"At the time of the last Report, the consensus forecast was 2.8 per cent and 2.3 per cent, respectively.",neutral
The downward trend of inflation in the advanced economies is expected to reverse over the projection horizon.,neg
"Indeed, export growth strengthened appreciably in the second half of 2005, owing largely to a recovery in exports of automotive products.",pos
"Nevertheless, the decline in the nominal-real interest differential is clear evidence that the financial markets have increasing confidence in low inflation over a long horizon.",neg
"Consequently, the two approaches can suggest different assessments of the degree of slack in the economy.",neutral
"Economic growth in china, in contrast, is expected to remain relatively robust, assisted by the introduction of additional fiscal and monetary stimulus measures to boost domestic demand and reduce the country's reliance on exports.",pos
"Real GDP growth is expected to pick up to about 2 1/4 per cent in the second half of 2015 and to strengthen further to about 2 1/2 per cent, on average, in 2016.",pos
"There has, nevertheless, been a move upward in money market rates, reflecting actual and expected increases in US short-term interest rates as well as market sentiment that Canada would follow suit.",pos
"Growth in the broad monetary aggregates has been moderate over the same period, suggesting relatively subdued inflation pressures ahead.",neg
"In sharp contrast to business credit, growth in household credit remains at a high level, supported by low interest rates and strong employment growth.",pos
The Bank expects that the economy will gradually return to its full production capacity over the next two years.,pos
"Core inflation is projected to stay close to 2 per cent over the projection horizon, as the economy remains near its production potential, the growth of labour compensation remains moderate and inflation expectations stay well anchored.",neutral
The Bank expects global economic growth to strengthen gradually after a weaker-than-expected start to 2016.,pos
"The rate of increase in the fixed-weight GDP deflator was 1.7 per cent in the second quarter of 1996 on a year-over-year basis, compared with 2.2 per cent in the fourth quarter of 1995.",neutral
Core CPI inflation has come down faster than was projected in either the April Report or the July Update.,neg
Canadian households reduced their spending by more than anticipated in response to the decline in their net worth and an elevated level of economic uncertainty.,neg
"At the same time, total CPI inflation (excluding the effect of changes in indirect taxes) is projected to be more subdued than in April and to remain somewhat below 2 per cent, mainly because of lower expected energy prices.",neg
"Consumer price inflation in China stood at 3.6 per cent in March 2012, well below its recent peak of 6.5 per cent in July 2011, owing in large part to rapidly moderating food price inflation.",neg
"With excess supply being absorbed gradually, and with inflation expectations well anchored, the core rate is projected to return to 2 per cent in the third quarter of 2011.",neutral
"In the core economies, activity has picked up noticeably, led by strength in exports.",pos
"The Canadian dollar has recently been trading above 68 cents US, reaching a three-year high.",neutral
High levels of narrow money growth have traditionally implied higher future inflation.,pos
"The Bank's projection assumes real GDP growth of 2.5 per cent, at an annual rate, during the first half of 2005.",neutral
Both core inflation and total CPI inflation (excluding the impact of the sales tax harmonization in Ontario and British Columbia) are expected to be close to the 2 per cent target throughout the projection horizon.,neutral
"In the fourth quarter, rapid growth in consumption was consistent with a strong increase in disposable income, leaving the savings rate little changed at 4.0 per cent.",pos
"Nonetheless, spreads are still high compared with their historical averages, especially for non-investment-grade issuers.",pos
There are risks to the outlook for 2005.,neutral
"Overall, inflation is expected to return sustainably to 2 per cent sometime in the second half of 2017, somewhat earlier than anticipated in January.",pos
The risks to this outlook for the economy and inflation appear to be balanced.,neutral
"In contrast, another broad-based measure, the year-over-year increase in labour income per person-hour, was relatively stable in 1999 - within a range of 1 to 2 per cent.",neutral
"On balance, the prices of non-energy commodities are expected to ease over the projection period from their current very high levels.",neg
"Since then, many currencies, including the Canadian dollar, have traded in fairly wide but more stable ranges.",neutral
Other measures of the trend rate of inflation that the Bank follows have also moved up above 2 per cent when the effect of changes in indirect taxes is excluded.,neutral
"The combined effects of various financial factors impinging on real economic activity are summarized in the financial conditions index , which weights a set of financial variables in proportion to their impact on real GDP.",neutral
"Investors have also shifted funds from equity markets into bonds, leading to a decline in bond rates.",neg
"While US exports are expected to rise substantially over the projection horizon, their positive contribution to growth will likely be offset by higher imports until early 2012.",pos
"As a result, the year-over-year rise in unit labour costs remained very low.",neg
The recovery is expected to be more gradual than usual.,neg
"This suggests a resumption of economic expansion in the second half of 1995, even allowing for a possible upward bias in M1 growth coming from particular factors affecting the corporate-demand-deposits component.",pos
"Combined with recent currency appreciation, this means that by early 1996 there should be significantly less impetus to measured inflation coming from this source.",neg
"However, activity in China's housing market continues to decelerate, with high and rising inventories and declining prices and sales.",neg
Commodity prices are expected to firm somewhat.,pos
